airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website
3085,Kullu Manali Airport,Kulu,India,KUU,VIBR,31.87669944763184,77.15440368652344,3573,5.5,N,Asia/Calcutta,airport,OurAirports,Kullu Manali Airport,ChIJWVABhCv4BDkRPj7F0yXeECU,"Kullu Manali Airport, Bhuntar, Himachal Pradesh 175125, India",3.9,624,https://www.aai.aero/en/node/3674
3086,Bhatinda Air Force Station,Bhatinda,India,BUP,VIBT,30.270099639892567,74.75579833984375,662,5.5,N,Asia/Calcutta,airport,OurAirports,Bathinda Airport,ChIJ03HUix86FzkRGQI7Vb-IWF4,"Bathinda Airport, Civil Enclave, Virk Kalan, Bathinda, Punjab 151201, India",4.1,143,not found
3087,Bhiwani Airport,Bhiwani,India,\N,VIBW,28.83699989318848,76.1791000366211,720,5.5,N,Asia/Calcutta,airport,OurAirports,Indira Gandhi International Airport,ChIJiS0q_IUbDTkRne1DLBh2874,"Indira Gandhi International Airport (DEL), New Delhi, Delhi 110037, India",4.4,21706,https://www.newdelhiairport.in/Default.aspx
3088,Bareilly Air Force Station,Bareilly,India,BEK,VIBY,28.4221000671,79.45079803470001,580,5.5,N,Asia/Calcutta,airport,OurAirports,Airport Area,ChIJGbrGlYgHoDkRARQg8q8tYhc,"nainital gate, Airport Area, Bareilly, Uttar Pradesh 243002, India",3.7,10,not found
3089,Chandigarh Airport,Chandigarh,India,IXC,VICG,30.67350006103516,76.78849792480469,1012,5.5,N,Asia/Calcutta,airport,OurAirports,Chandigarh International Airport,ChIJU92pMILsDzkROrVYw12DxkI,"Chandigarh International Airport, New Civil Air Terminal, Mohali District, Sahibzada Ajit Singh Nagar, Punjab 140306, India",4.1,1697,https://www.aai.aero/en/airports/contact-us/chandigarh
3090,Kanpur Airport,Kanpur,India,KNU,VICX,26.404301,80.410103,410,5.5,N,Asia/Calcutta,airport,OurAirports,Kanpur Airport,ChIJoXMmTJ9BnDkRDbK-ggahXLE,"Kanpur Airport, Civil Aerodrome, Kanpur Cantonment, Kanpur, Uttar Pradesh 208004, India",3.8,458,not found
3091,Safdarjung Airport,Delhi,India,\N,VIDD,28.58449935913086,77.20580291748047,705,5.5,N,Asia/Calcutta,airport,OurAirports,Safdarjung Airport,ChIJSyHDeIXiDDkR91IVpEksj-8,"Safdarjung Airport, metro station, Sri Aurobindo Marg, near Jorbagh, Safdarjung Airport Area, Satya Sadan, New Delhi, Delhi 110003, India",3.9,313,https://www.aai.aero/en/node/92441
3092,Dehradun Airport,Dehra Dun,India,DED,VIDN,30.189699,78.180298,1831,5.5,N,Asia/Calcutta,airport,OurAirports,Jolly Grant Airport Dehradun,ChIJzZKoP7gkCTkR6MlWHxp5In0,"Jolly Grant Airport Dehradun, Airport Road, Dehradun, Uttarakhand 248140, India",4,1082,https://www.aai.aero/en/airports/dehradun
3093,Indira Gandhi International Airport,Delhi,India,DEL,VIDP,28.5665,77.103104,777,5.5,N,Asia/Calcutta,airport,OurAirports,Indira Gandhi International Airport,ChIJiS0q_IUbDTkRne1DLBh2874,"Indira Gandhi International Airport (DEL), New Delhi, Delhi 110037, India",4.4,21706,https://www.newdelhiairport.in/Default.aspx
3094,Gwalior Airport,Gwalior,India,GWL,VIGR,26.29330062866211,78.22779846191406,617,5.5,N,Asia/Calcutta,airport,OurAirports,Gwalior Airport,ChIJbR0oiZfAdjkRQHBPZ5HrTJU,"Gwalior Airport, Maharajpura, Gwalior, Madhya Pradesh 474020, India",3.7,254,not found
