index,airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website
2036,6741,Gorakhpur Airport,Gorakhpur,India,GOP,VEGK,26.739700317399997,83.44969940189999,259,N,Asia/Calcutta,airport,OurAirports,Mahayogi Gorakhnath Airport,ChIJm2sVKIVckTkRDdAySRIGSJM,"Mahayogi Gorakhnath Airport, Gorakhpur, Uttar Pradesh 273002, India",4.0,725,not found
2037,6753,Mardin Airport,Mardin,Turkey,MQM,LTCR,37.223300933800004,40.6316986084,1729,E,Europe/Istanbul,airport,OurAirports,Mardin Airport,ChIJeQYgsDmACkAR9jRG5jDkwxg,"Turgut Özal, Mardin Airport, Kızıltepe Sanayi Sitesi, 47400 Çınarcık Köyü/Kızıltepe/Kızıltepe/Mardin, Turkey",4.2,128,http://www.dhmi.gov.tr/havaalanlari.aspx?hv=30#.V81SfGQrLBs
2038,6756,Leon Airport,Leon,Spain,LEN,LELN,42.5890007019043,-5.65556001663208,3006,E,Europe/Madrid,airport,OurAirports,Guanajuato International Airport,ChIJxQ9Tpsw_KYQRAGksxT3W1nM,"Guanajuato International Airport (BJX), Carr. Silao-León Km 5.5, Nuevo México, 36270 Silao, Gto., Mexico",3.9,805,https://www.aeropuertosgap.com.mx/es/guanajuato.html
2039,6760,Kangra Airport,Kangra,India,DHM,VIGG,32.16510009765625,76.26339721679688,2525,N,Asia/Calcutta,airport,OurAirports,Kangra Airport,ChIJpQEAAABABDkROG9ti6t2K0Y,"Kangra Airport, National Highway 154, Gaggal, Himachal Pradesh 176209, India",4.3,228,not found
2040,6761,Nanded Airport,Nanded,India,NDC,VAND,19.1833000183,77.31670379639998,1250,N,Asia/Calcutta,airport,OurAirports,Shri Guru Gobind Singh Ji Airport,ChIJ_zliUgLX0TsR1AX8O-pKs_Q,"Shri Guru Gobind Singh Ji Airport, Sangvigaon, Hingoli Road , Ambekar Nagar, Nanded, Maharashtra 431605, India",4.0,283,http://www.nandedairport.co.in/
2041,6762,Shimla Airport,Shimla,India,SLV,VISM,31.0818,77.068001,5072,N,Asia/Calcutta,airport,OurAirports,Shimla Airport,ChIJ_YxA_pl7BTkRXqz1tNYbhhM,"Shimla Airport, Jubbarhatti, Himachal Pradesh 173207, India",3.7,126,not found
2042,6776,Sialkot Airport,Sialkot,Pakistan,SKT,OPST,32.5355567932,74.3638916016,837,N,Asia/Karachi,airport,OurAirports,Sialkot International Airport,ChIJVa8qon7mHjkRKgt7do-rxqA,"Sialkot International Airport, 14 km (8.7 mi) west of Sialkot، Airport Road, Sialkot، Pakistan",4.2,640,http://www.sial.com.pk
2043,6777,Capitan Corbeta CA Curbelo International Airport,Punta del Este,Uruguay,PDP,SULS,-34.855098724365234,-55.09429931640625,95,S,America/Montevideo,airport,OurAirports,Punta del Este International Airport,ChIJnQFb3dgadZURZ68j9rCYOvA,"Punta del Este International Airport, Ruta 113, 20100 Maldonado, Departamento de Maldonado, Uruguay",4.1,91,http://www.puntadeleste.aero/
2044,6781,Çanakkale Airport,Canakkale,Turkey,CKZ,LTBH,40.1376991272,26.4267997742,23,E,Europe/Istanbul,airport,OurAirports,Canakkale Airport,ChIJhVJW3mUHsRQRWtwMlHUB9es,"Canakkale Airport, Barbaros Mh Şht. Gürol Cd Pk:17020, 17020 Çanakkale Merkez/Çanakkale, Turkey",3.7,97,https://canakkale-havaliman.business.site/
2045,6782,Muş Airport,Mus,Turkey,MSR,LTCK,38.74779891967773,41.66120147705078,4157,E,Europe/Istanbul,airport,OurAirports,Mus Airport,ChIJcxn4P8PlckAR0TWmYt5QqG4,"Mus Airport, Muş Merkez/Muş, Turkey",3.9,57,not found
2046,6783,Sinop Airport,Sinop,Turkey,NOP,LTCM,42.015800476074,35.066398620605,20,E,Europe/Istanbul,airport,OurAirports,Sinop Airport,ChIJsxVfEaRyj0ARNDfLNrkQig8,"Akliman mevkii, Sinop Airport, Havaaalanı Yolu, 57000 Bostancılı Köyü/Sinop Merkez/Sinop Merkez/Sinop, Turkey",4.3,63,not found
2047,6784,Tekirdağ Çorlu Airport,Çorlu,Turkey,TEQ,LTBU,41.13819885253906,27.919099807739247,574,E,Europe/Istanbul,airport,OurAirports,Dhmi Tekirdag Corlu Airport,ChIJU6FLp8XhtBQRAvWmc5LfFqU,"Dhmi Tekirdag Corlu Airport, 59850 Seymen Köyü/Çorlu/Çorlu/Tekirdağ, Turkey",3.8,337,not found
2048,6785,Bursa Yenişehir Airport,Yenisehir,Turkey,YEI,LTBR,40.2551994324,29.5625991821,764,E,Europe/Istanbul,airport,OurAirports,Bursa Yenisehir Airport,ChIJc-kcC0qwyxQRBPOaSktx5Iw,"Bursa Yenisehir Airport, Bursa Cd. No:50, 16900 Yenişehir/Bursa, Turkey",3.7,122,not found
2049,6787,Kalay Airport,Kalemyo,Myanmar,KMV,VYKL,23.188800811767567,94.05110168457031,499,U,Asia/Rangoon,airport,OurAirports,Kalay Airport,ChIJo5cTliBzSzcR5f8APWYw3Ik,"Kalay Airport, Kalemyo, Myanmar (Burma)",3.6,51,not found
2050,6793,Orange Airport,Orange,Australia,OAG,YORG,-33.3816986084,149.132995605,3115,U,Australia/Sydney,airport,OurAirports,John Wayne Airport,ChIJ70Cry-3e3IAR4hkRw_XoQck,"John Wayne Airport (SNA), 18601 Airport Way, Santa Ana, CA 92707, USA",4.3,1308,https://www.ocair.com/default
2051,6797,Hohenems-Dornbirn Airport,Hohenems,Austria,HOH,LOIH,47.3849983215,9.699999809269999,1352,E,Europe/Vienna,airport,OurAirports,20,ChIJrRCQUhgVm0cRrrfohNd0-6I,"Schollenstraße 20, 6845 Hohenems, Austria",4.6,131,http://www.loih.at/
2052,6819,Borovaya Airfield,Minsk,Belarus,\N,UMMB,53.9604611,27.6505961,0,E,Europe/Minsk,airport,OurAirports,Borovaya Airfield,ChIJ13TxGMXI20YRDFyQLqv3oa0,"Borovaya Airfield, Ulitsa Lipkovskaya 6, Minsk, Belarus",4.7,103,http://aeroclub-minsk.by/
2053,6833,Al Udeid Air Base,Doha,Qatar,XJD,OTBH,25.11730003360001,51.3149986267,130,N,Asia/Qatar,airport,OurAirports,Abū Nakẖlah,ChIJvxGWSVh_Rj4RSho9dp0ECb4,"Abū Nakẖlah, Qatar",4.2,91,not found
2054,6837,Ford Airport,Iron Mountain,United States,IMT,KIMT,45.8184013367,-88.11450195309997,1182,A,America/Chicago,airport,OurAirports,Gerald R. Ford International Airport,ChIJIxmd_iZMGIgRW7NB00j4IU4,"Gerald R. Ford International Airport (GRR), 5500 44th St SE, Grand Rapids, MI 49512, USA",4.1,468,https://www.grr.org/
2055,6859,Mary Airport,Mary,Turkmenistan,MYP,UTAM,37.6194,61.89670200000001,728,U,Asia/Ashgabat,airport,OurAirports,Mary Airport,ChIJ2fcS7GWFQT8RczFXLZv1lUE,"Mary Airport (MYP), Mary etrap, Mary, Turkmenistan",4.3,53,not found
2056,6868,Sabadell Airport,Sabadell,Spain,QSA,LELL,41.52090072631836,2.1050798892974854,485,E,Europe/Madrid,airport,OurAirports,Sabadell Airport,ChIJBf5DqEqUpBIRYT2Ejz052Sc,"Sabadell Airport (QSA), Carr. de Bellaterra, s/n, 08205 Sabadell, Barcelona, Spain",3.9,82,http://www.aena.es/es/aeropuerto-sabadell/index.html
2057,6870,Whitsunday Island Airport,Airlie Beach,Australia,WSY,YWHI,-20.27611,148.755,40,O,Australia/Brisbane,airport,OurAirports,Hamilton Island Airport,ChIJLV8u0BGt2WsR8UC8RQWLGOE,"Hamilton Island Airport (HTI), Hamilton Island QLD 4803, Australia",4.1,63,http://www.hamiltonisland.com.au/getting-here/airport
2058,6877,North Las Vegas Airport,Las Vegas,United States,VGT,KVGT,36.21070098877,-115.19400024414,2205,U,America/Los_Angeles,airport,OurAirports,North Las Vegas Airport,ChIJ42MKmO_ByIARblTQmdNfxbw,"North Las Vegas Airport, 2730 Airport Dr, North Las Vegas, NV 89032, USA",4.2,139,http://www.vgt.aero/
2059,6894,Zell Am See Airport,Zell am See,Austria,\N,LOWZ,47.292221999999995,12.7875,2470,E,Europe/Vienna,airport,OurAirports,Zell am See Airport,ChIJ423bQ5gcd0cRPjScteYiZVY,"Zell am See Airport, Kaprunerstraße 15, 5700 Zell am See, Austria",4.0,59,http://flugplatz-zellamsee.at/
2060,6909,Wittman Regional Airport,Oshkosh,United States,OSH,KOSH,43.98440170288086,-88.55699920654297,808,A,America/Chicago,airport,OurAirports,Wittman Airport (OSH),ChIJN9YReZ3uA4gRB0qcvpde6mU,"Wittman Airport (OSH), 525 W 20th Ave, Oshkosh, WI 54902, USA",4.7,58,http://www.wittmanairport.com/
2061,6916,Pangborn Memorial Airport,Wenatchee,United States,EAT,KEAT,47.3988990784,-120.20700073200001,1249,A,America/Los_Angeles,airport,OurAirports,Pangborn Memorial Airport,ChIJAWn7nenNm1QR11h7BIkk-ek,"Pangborn Memorial Airport, 1 Pangborn Drive, East Wenatchee, WA 98802, USA",4.2,94,http://www.pangbornairport.com/
