index,airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website,total_routes
1599,6084,Petropavlosk South Airport,Petropavlosk,Kazakhstan,PPK,UACP,54.77470016479492,69.18389892578125,453,U,Asia/Qyzylorda,airport,OurAirports,Aeroport Petropavlovsk,ChIJK5PdAhE4skMRk0_u1obhI_E,"Aeroport Petropavlovsk, 150000, Kazakhstan",4.0,85,https://aeroport.kz/city/petropavlovsk,2
1600,6086,Ust-Kamennogorsk Airport,Ust Kamenogorsk,Kazakhstan,UKK,UASK,50.036598205566406,82.49420166015625,939,U,Asia/Qyzylorda,airport,OurAirports,Aeroport Ust'-Kamenogorska,ChIJZ0MfHLdc60IRi52EnpCzYTs,"Aeroport Ust'-Kamenogorska, Ust'-Kamenogorsk 070000, Kazakhstan",3.9,629,http://ru.airport-uk.kz/,8
1601,6089,Ganja Airport,Ganja,Azerbaijan,KVD,UBBG,40.737701416015625,46.31760025024414,1083,E,Asia/Baku,airport,OurAirports,Azerbaijan,ChIJl-xttitUP0ARMHdhLYNussg,"Ganja, Azerbaijan",4.2,176,not found,4
1602,6090,Nakhchivan Airport,Nakhchivan,Azerbaijan,NAJ,UBBN,39.18880081176758,45.45840072631836,2863,E,Asia/Baku,airport,OurAirports,Nakhchivan International Airport,ChIJLXQ6Ui0sFEARkG9641dpP_s,"Nakhchivan International Airport, E002, Naxçıvan 6725, Azerbaijan",4.3,86,not found,1
1603,6103,Zaporizhzhia International Airport,Zaporozhye,Ukraine,OZH,UKDE,47.86700057983398,35.31570053100586,373,E,Europe/Kiev,airport,OurAirports,International Airport Zaporizhzhya,ChIJQUt609VC3EARKiE4-04nZOo,"International Airport Zaporizhzhya (OZH), вул. Блакитна, 4 м, Zaporizhzhia, Zaporizhia Oblast, Ukraine, 69013",2.5,356,https://ozh.aero/,2
1604,6105,Kharkiv International Airport,Kharkov,Ukraine,HRK,UKHH,49.92480087280274,36.290000915527344,508,E,Europe/Kiev,airport,OurAirports,International Airport Kharkiv,ChIJ01SmsCgLJ0ER9lfv6vhNKi0,"International Airport Kharkiv, Romashkina St, 1, Kharkiv, Kharkivs'ka oblast, Ukraine, 61000",4.2,547,http://hrk.aero/,10
1605,6106,Ivano-Frankivsk International Airport,Ivano-Frankivsk,Ukraine,IFO,UKLI,48.88420104980469,24.68610000610352,919,E,Europe/Kiev,airport,OurAirports,"International Aeroport ""Ivano-Frankivsk""",ChIJL39xILrGMEcR-DklAa87Prw,"International Aeroport ""Ivano-Frankivsk"", Vulytsya Yevhena Konovalʹtsya, 264А, Ivano-Frankivsk, Ivano-Frankivs'ka oblast, Ukraine, 76000",3.2,166,https://ifo.aero/,2
1606,6109,Uzhhorod International Airport,Uzhgorod,Ukraine,UDJ,UKLU,48.6343002319336,22.263399124145508,383,E,Europe/Kiev,airport,OurAirports,"International Airport ""Uzhhorod""",ChIJX4be3WoYOUcR9otwEw-UnJg,"International Airport ""Uzhhorod"", Sobranets'ka St, 145, Uzhhorod, Zakarpats'ka oblast, Ukraine, 88000",3.3,56,not found,1
1607,6118,Kyzyl Airport,Kyzyl,Russia,KYZ,UNKY,51.66939926147461,94.40059661865234,2123,N,Asia/Krasnoyarsk,airport,OurAirports,Kyzyl Airport,ChIJhS_vNyWUO10Rr-_36IlsUek,"Kyzyl Airport, Moskovskaya Ulitsa, 145, Kyzyl, Tyva Republits, Russia, 667010",3.9,74,http://tuvaairport.ru/,1
1608,6119,Spichenkovo Airport,Novokuznetsk,Russia,NOZ,UNWW,53.811401000000004,86.877197,1024,N,Asia/Krasnoyarsk,airport,OurAirports,Novokuznetsk Airport,ChIJb2tS5xW70EIRtxaxmfdQwvc,"Novokuznetsk Airport (NOZ), Prokopyevsk, Kemerovskaya oblast', Russia, 654009",3.5,84,http://www.aerokuz.ru/,2
1609,6124,Beslan Airport,Beslan,Russia,OGZ,URMO,43.2051010132,44.60660171510001,1673,N,Europe/Moscow,airport,OurAirports,Vladikavkazskiy Aeroport,ChIJUTofFH5wUEARus_yTvootGE,"Vladikavkazskiy Aeroport, Beslan, North Ossetia–Alania, Russia",3.5,105,http://mav.aero/,1
1610,6133,Tri Cities Airport,Pasco,United States,PSC,KPSC,46.26470184326172,-119.11900329589844,410,A,America/Los_Angeles,airport,OurAirports,Tri-Cities Airport,ChIJsfyVKUCPWogR1f-HukF2Va4,"Tri-Cities Airport (TRI), 2525 TN-75 Suite 301, Blountville, TN 37617, USA",4.1,113,http://www.triflight.com/,8
